FT_TURNO;TU_SEMI_TURNO;N_FECHA_SMTU;CUBA;POTSTATE;AGEBSQ;POTAGE;ALF3;ALF3C;ALF3D;AMALF3;AMBB;AMCAF2;AMCRY;AMNA2CO3;CAF2;CAF2D;CNMVTC;DICA;DOBS;DPFC;DPFP;DTEA;DTEAI;DTEAR;ECMP_MT;ECMR_MP;HB;HBC;HBD;HM;HMC;HMD;IACHBDE;IACHMDE;IACKADE;IACRCDE;IACTADE;IASSDE;IMM;KALIM;LIF;LIFD;MAN;MBLAJOU;MBLC;MBLCOUL;MCDAAP;MCDALF3;MCDASP;MCDBB;MMCEX;MMCNO;MMCT;MMTHE;MPESON;MRDM;MTALF3;MTBB;NBTEAR;NCAL;NCFAIN;NCFOIN;NCHGA;NDAL2O3;NDALF3;NDBB;NDEFEX;NDLIAI;NDPFC;NDPFP;NDTEAI;NDTEAR;NIANO;NINPR;NP2CDP;NPEV;NPFLO;NPIPC;NRECOV;NRTICA;NSSALLO;NTEA;NTEAIB;NTEAIE;NTEAII;NTEAIM;NTEAIR;PEV;RC;RKM;RPL;RPLCAT;RRM;RTH;RTICA;RUAV;RUCC;RUCD;RUCV;SEA;SOUSAL;SURCH;TB;TBC;TBD;TFAIN;TFE;TFED;TFOIN;TNA;TP;TSI;TSID;TXTAL;UMM;VERANOC;WRMI;BRDONE;HCDONE;HODONE;STUPD;DPEA;UPEA;RUAVD;V_RS;CNREG;V_PPL;CUPEA;V_PPT;NCUPEA;V_PPR;NP2SEX;NUMCAI;NUMBSQ;EVOLSTATE;EVOLAGE;IEVOL;QUINT;TEFAL;MNA2C;TFDCAI;ECTFDCAI;ECDIAN;MBLTHE;V_EMPASTAMIENTO;V_APARTAMIENTO;M_CUBA_MADRE;FH_CUBA_MADRE;V_PENDIENTE_FE;INDSHT;C_SERIE;V_AL_CALC;IPS;I_SMTURNO;N_FASECHGA;CODMBQ;SN_SAVOIE;V_ULT_P;V_ULT_NA;C_DETE_CATODO;K_TURNOS_DETE_CATODO;SN_REAR_CON_METAL;V_TFLUO;V_ULT_CU;K_COL_METAL_PUENTE;K_AGR_METAL_PUENTE;N_PUENTE_METAL;V_ACD;V_ULT_V;V_ULT_TI;V_ULT_GA;SMRWFC;MI_EA;ENERGIA_EA;MI_BLOCK_A1;MI_BLOCK_A2;MI_BLOCK_A3;MI_BLOCK_A4
13/4/2026 00:00;1;2026041311;7076;3;3848;3848;;12,1;11,8;;;;;;;5,3;8;;14398;;22;;;;;;;18;20;;21;21;1;1;1;1;1;1;223982,7256;100;;;0;;;;;;;;;;;2300;;10,2;;;;;4;0;0;469;4;0;0;0;0;1;0;0;0;0;2;2;0;0;0;;0;0;0;0;0;0;0;154,5;0;12,053;0,25;;12,1552;-0,06;;;0,17;1,54;;0;16,4179;10;;957;961;45,5897;;2182;39,3388;;;;387;0;4,373;;103;0;;0;1;;;;11,37;8;161;0;117;0;94;0;320;2;;;0;60;;;;;;300;0;0;N;13/4/2026 06:15;-700;;D;99,71;224000;59076;1;CBN8;N;14;94;1;16294;;1,46;4;;;;4,31;52;34;119;0,0577;0;0;0;0;0;0
13/4/2026 00:00;2;2026041312;7076;3;3848,1667;3848,1667;;12,1;11,8;;;;;;;5,3;34;;14400;;;;;;;;;18;20;;21;21;1;1;1;1;1;1;223982,2185;100;;;0;;;;;;;;;;;2300;;10,2;;;;;0;0;0;574;6;0;0;0;0;0;0;0;0;0;3;3;0;0;0;;0;0;0;0;0;0;0;174,6667;0;11,8228;0,25;;11,9068;-0,06;;;0,17;1,54;;0;21,2544;10;;957;961;0;2218;2218;0;74;17;407;407;0;4,3174;;87;0;;0;1;;;;11,37;12;161;0;117;0;94;1;320;2;;;0;60;;;;;;300;0;0;N;13/4/2026 10:15;299;;D;99,71;224000;59077;2;CBN8;N;17;74;1;16295;;1,46;4;;;;4,15;52;34;118;0;0;0;0;0;0;0
13/4/2026 00:00;3;2026041323;7076;3;3848,3333;3848,3333;;12,1;11,8;;;;;;;5,3;27;;14401;;;;;;0;0;;18;20;;21;21;1;1;1;1;1;1;223982,8923;100;;;0;;;;;;;;;2300;2300;2300;2300;10,2;;;;;2;0;0;540;5;0;0;0;0;0;0;0;0;0;3;3;0;0;0;;0;0;0;0;0;0;0;150,3333;0;11,6535;0,25;;11,7152;-0,06;;;0,17;1,54;;0;31,2963;10;;957;961;6,2496;2218;2218;0;64;16;404;404;0;4,2745;;92;0;;0;1;;;;11,37;10;161;0;117;0;94;1;320;2;;;0;60;;;;;;300;0;0;N;13/4/2026 14:15;0;;D;99,71;224000;59078;3;CBN8;N;16;64;1;16295;;1,46;4;2240;;7;4,02;53;34;119;0;0;0;0;0;0;0
13/4/2026 00:00;4;2026041324;7076;3;3848,5;3848,5;;12,1;11,8;;;;;;;5,3;32;;14398;;;;;;;;;18;20;;21;21;1;1;1;1;1;1;223982,1074;100;;;0,3681;;300;300;;;;;;;;;;10,2;160;;;;2;1;0;509;6;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;0;0;0;0;0;0;0;109;0;11,5032;0,25;;11,647;-0,06;;;0,17;1,54;;0;42,4361;10;;957;961;0;;2218;0;;;;404;0;4,2592;;92;0;;0;1;;;;11,37;19;161;0;117;0;94;1;320;2;;;0;60;;;;;;;0;0;N;13/4/2026 18:15;0;;D;99,71;224000;59079;4;CBN8;N;16;64;1;16296;;1,46;4;;;;3,97;53;34;119;0;0;0;0;0;0;0
13/4/2026 00:00;5;2026041335;7076;3;3848,6667;3848,6667;10,9;12,1;10,9;;;;;;5,6;5,6;12;;14402;;14;;;;;;17;18;17;22;21;22;1;1;1;1;1;1;223980,7569;100;;;0;;;;;;;;;;;2300;;10,2;;;;;0;0;0;467;5;0;0;0;0;1;0;0;0;0;2;2;0;0;0;;2;0;0;0;0;0;0;147,5;0;11,457;0,25;;11,5127;-0,083;;;0,17;1,54;;0;35,1178;10;963;957;963;0;;2218;0;;;;404;0;4,2291;;62;0;;0;1;;;;11,37;5;161;0;117;0;94;0;320;2;;;0;60;;;;;;;0;0;N;13/4/2026 22:15;0;;D;99,71;224000;59080;5;CBN8;N;16;64;;;;1,46;4;;;;3,9;53;34;119;0;0;0;0;0;0;0
13/4/2026 00:00;6;2026041336;7076;3;3848,8333;3848,8333;;12,1;10,9;;;;;;;5,6;8;;14399;;15;;;;;;;18;17;;21;22;1;1;1;1;1;1;223980,6848;100;;;0;;;;;;;;;;;2300;;10,2;;;;;0;0;0;480;6;0;0;0;0;1;0;0;0;0;3;3;0;0;1;;0;0;0;0;0;0;0;116;0;11,45;0,25;;11,5182;-0,09;;;0,17;1,54;;0;27,5;10;;957;963;0;2179;2179;0;50;18;407;407;0;4,2303;0,1;57;0;;0;0;;;;11,37;3;161;0;117;0;94;0;320;2;;;0;60;;;;;;;0;1;N;14/4/2026 02:15;-80;;D;99,72;224000;59081;6;CBN8;N;18;50;1;16297;;1,46;4;;;;3,9;49;33;116;0;0;0;0;0;0;0
14/4/2026 00:00;1;2026041411;7076;3;3849;3849;;12,1;10,9;;;;;;;5,6;23;;14400;;;;;;;;;18;17;;21;22;1;1;1;1;1;1;223980,2237;100;;;0;;;;;;;;;;;2300;;10,2;;;;;0;0;0;529;5;0;0;0;0;0;0;0;0;0;3;3;0;0;0;;0;0;0;0;0;0;0;176,6667;0;11,5744;0,25;;11,5952;-0,09;;;0,17;1,54;;0;19,2817;10;;957;963;0;2180;2180;0;72;19;399;399;0;4,2476;;61;0;;0;1;;;;11,37;9;161;0;117;0;94;0;320;2;;;0;60;;;;;;;0;1;N;14/4/2026 06:15;5;;D;99,71;224000;59082;7;CBN8;N;19;72;1;16297;;1,46;4;;;;3,99;51;34;116;0;0;0;0;0;0;0
14/4/2026 00:00;2;2026041412;7076;3;3849,1667;3849,1667;;12,1;10,9;;;;;;;5,6;4;;14399;;18;;;;;;;18;17;;21;22;1;1;1;1;1;1;223981,3099;100;;;0;;;;;;;;;;;2300;;10,2;;;;;0;0;1;460;4;0;0;0;0;2;0;0;0;0;1;1;0;0;0;;0;0;0;0;0;0;0;104;0;12,0717;0,25;;12,1572;-0,09;;;0,17;1,54;;0;18,2609;10;;957;963;0;2084;2084;0;50;18;388;388;0;4,3735;;60;0;;0;1;;;;11,37;4;161;0;117;0;94;0;320;2;;;0;60;;;;;;;0;1;N;14/4/2026 10:15;-943;;D;99,72;224000;59083;0;CBN8;N;18;50;1;16298;;1,4;4;;;;4,36;51;34;114;0;0;0;0;0;0;0
14/4/2026 00:00;3;2026041423;7076;3;3849,3333;3849,3333;;12,1;10,9;;;;;;;5,6;3;;14399;;;;;;;;;18;17;;21;22;1;1;1;1;1;1;223984,5026;100;;;0;;;;;;;;;;;2300;;10,2;;;;;0;0;0;496;6;0;0;0;0;0;0;0;0;0;4;4;0;0;0;;0;0;0;0;0;0;0;122;0;11,8983;0,25;;11,9584;-0,09;;;0,17;1,54;;0;33,0645;10;;957;963;0;2037;2037;0;62;19;385;385;0;4,329;;59;0;;0;1;;;;11,37;3;161;0;117;0;94;0;320;2;;;0;60;;;;;;;0;1;N;14/4/2026 14:15;-253;;D;99,73;224000;59084;1;CBN8;N;19;62;1;16298;;1,4;4;;;;4,23;50;35;115;0;0;0;0;0;0;0
14/4/2026 00:00;4;2026041424;7076;3;3849,5;3849,5;;12,1;10,9;;;;;;;5,6;25;;14400;;;;;;;;;18;17;;21;22;1;1;1;1;1;1;223983,7802;100;;;0;;;;;;;;;;;2300;;10,2;;;;;0;0;0;503;7;0;0;0;0;0;0;0;0;0;4;4;0;0;0;;0;0;0;0;0;0;0;168,5;0;11,7309;0,25;;11,7519;-0,09;;;0,17;1,54;;0;31,0139;10;;957;963;0;;2037;0;;;;385;0;4,2827;;63;0;;0;1;;;;11,37;7;161;0;117;0;94;0;320;2;;;0;60;;;;;;;0;1;N;14/4/2026 18:15;-253;;D;99,73;224000;59085;2;CBN8;N;19;62;1;16299;;1,4;4;;;;4,09;50;35;115;0;0;0;0;0;0;0
14/4/2026 00:00;5;2026041435;7076;3;3849,6667;3849,6667;;12,1;10,9;;;;;;;5,6;7;;14400;;;;;;-80;0;;18;17;;21;22;1;1;1;1;1;1;223983,2731;100;;;0;;;;;;;;;2220;2220;2300;2220;10,2;;;;;0;0;0;554;7;0;0;0;0;0;0;0;0;0;4;4;0;0;0;;0;0;0;0;0;0;0;169,5;0;11,5669;0,25;;11,6533;-0,09;;;0,17;1,54;;0;27,0758;10;;957;963;0;1966;1966;0;42;18;383;383;0;4,2606;;63;0;;0;1;;;;11,37;3;161;0;117;0;94;1;320;2;;;0;60;;;;;;;0;1;N;14/4/2026 22:15;-202;;D;99,75;224000;59086;3;CBN8;N;18;42;;;;1,4;4;2220;;7;4,02;49;35;113;0;0;0;0;0;0;0
14/4/2026 00:00;6;2026041436;7076;3;3849,8333;3849,8333;;12,1;10,9;;;;;;;5,6;20;;14400;41;;;;;;;;18;17;;21;22;1;1;1;1;1;1;223982,8113;100;;;0;;;;;;;;;;;;;10,2;;;;;0;0;0;431;5;0;0;0;1;0;0;0;0;0;1;1;1;0;0;;0;0;0;0;0;0;0;108;0;11,4534;0,25;;11,5071;-0,09;;;0,17;1,54;;0;25,9861;10;;957;963;0;;1966;0;;;;383;0;4,2279;;58;0;;0;0;;;;11,37;8;161;0;117;0;94;0;320;2;;;0;60;;;;;;;0;1;N;15/4/2026 02:15;-202;;D;99,75;224000;59087;4;CBN8;N;18;42;1;16300;;1,4;4;;;;3,93;49;35;113;0;0;0;0;0;0;0
15/4/2026 00:00;1;2026041511;7076;3;3850;3850;;12,1;10,9;;;;;;;5,6;11;;14400;;;;;;;;17;18;17;21;21;21;1;1;1;1;1;1;223985,3362;100;;;0;;;;;;;;;;;2300;;10,2;;;;;0;0;0;509;7;0;1;0;0;0;0;0;0;0;5;5;0;0;0;;0;0;0;0;0;0;0;171;0;11,362;0,25;;11,4176;-0,178;;;0,17;1,54;;0;28,6837;10;976;957;976;0;1896;1896;0;54;17;374;374;0;4,2078;;61;0;;0;1;;;;11,37;4;161;0;117;0;94;0;320;2;;;0;60;;;;;;;0;1;N;15/4/2026 06:15;-218;;D;99,75;224000;59088;5;CBN8;N;17;54;1;16300;;1,4;4;;;;3,94;49;36;111;0;0;0;0;0;0;0
15/4/2026 00:00;2;2026041512;7076;3;3850,1667;3850,1667;;12,1;10,9;;;;;;;5,6;10;;14400;;;;;;;;;18;17;;21;21;1;1;1;1;1;1;223986,4694;100;;;0;;;;;;;;;;;2300;;10,2;;;;;0;0;0;524;8;0;1;0;0;0;0;0;0;0;3;3;0;0;1;;0;0;0;0;0;0;0;200,6667;0;11,3;0,25;;11,3478;-0,24;;;0,17;1,54;;0;18,5115;10;;957;976;0;1940;1940;0;66;20;380;380;0;4,1922;;59;0;;0;1;;;;11,37;5;161;0;117;0;94;0;320;2;;;0;60;;;;;;;0;0;N;15/4/2026 10:15;427;;D;99,75;224000;59089;6;CBN8;N;20;66;1;16301;;1,4;4;;;;3,89;48;36;111;0;0;0;0;0;0;0
15/4/2026 00:00;3;2026041523;7076;3;3850,3333;3850,3333;;12,1;10,9;;;;;;;5,6;12;;14398;;25;;;;;;;18;17;;21;21;1;1;1;1;1;1;223984,2178;100;;;0;;;;;;;;;;;2300;;10,2;;;;;0;0;1;476;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;;0;11,8004;0,25;;11,8507;-0,24;;;0,17;1,54;;0;13,0252;10;;957;976;0;2004;2004;0;50;19;393;393;0;4,3048;;102;0;;0;1;;;;11,37;10;161;0;117;0;94;0;320;2;;;0;60;;;;;;;0;0;N;15/4/2026 14:15;10262;;D;99,74;224000;59090;0;CBN8;N;19;50;1;16301;;1,4;4;;;;4,23;49;36;113;0;0;0;0;0;0;0
